name,unit,defaultPrice,description
"התקנת מזגן עילי","יחידה","800","התקנת מזגן עילי כולל חיבורים"
"התקנת מזגן מיני מרכזי","יחידה","1200","התקנת מזגן מיני מרכזי"
"התקנת מזגן חלון","יחידה","400","התקנת מזגן חלון"
"התקנת מזגן מרכזי","יחידה","3000","התקנת מערכת מיזוג מרכזית"
"התקנת יחידה חיצונית","יחידה","600","התקנת יחידה חיצונית למזגן"
"חיבור צנרת נחושת","מטר","40","חיבור צנרת נחושת למזגן"
"בידוד צנרת","מטר","15","בידוד צנרת מיזוג"
"מילוי גז קירור","יחידה","200","מילוי גז קירור במזגן"
"ניקוי מזגן","יחידה","150","ניקוי מזגן כולל פילטרים"
"תחזוקת מזגן","יחידה","200","תחזוקה שנתית למזגן"
"תיקון מזגן","יחידה","300","תיקון תקלה במזגן"
"החלפת פילטר","יחידה","50","החלפת פילטר במזגן"
"התקנת שלט רחוק","יחידה","100","התקנת שלט רחוק למזגן"
"התקנת טיימר","יחידה","150","התקנת טיימר למזגן"
"בדיקת דליפות גז","יחידה","200","בדיקת דליפות גז במערכת"
