name,unit,defaultPrice,description
"התקנת חלון אלומיניום","יחידה","800","התקנת חלון אלומיניום כולל זכוכית"
"התקנת דלת אלומיניום","יחידה","1200","התקנת דלת אלומיניום לכניסה"
"התקנת תריס אלומיניום","יחידה","600","התקנת תריס אלומיניום חשמלי"
"התקנת מעקה אלומיניום","מטר","250","התקנת מעקה אלומיניום למרפסת"
"התקנת פרגולה אלומיניום","מ״ר","400","התקנת פרגולה אלומיניום"
"התקנת סורג אלומיניום","מ״ר","300","התקנת סורג אלומיניום לחלון"
"התקנת קיר מסך","מ״ר","500","התקנת קיר מסך אלומיניום וזכוכית"
"התקנת גגון","מטר","200","התקנת גגון אלומיניום"
"התקנת דלת הזזה","יחידה","1500","התקנת דלת הזזה אלומיניום"
"תיקון חלון אלומיניום","יחידה","200","תיקון חלון אלומיניום קיים"
"החלפת זכוכית","מ״ר","150","החלפת זכוכית בחלון אלומיניום"
"התקנת רשת יתושים","יחידה","120","התקנת רשת יתושים לחלון"
"איטום חלון","יחידה","100","איטום חלון אלומיניום"
"צביעת אלומיניום","מ״ר","80","צביעת פרופילי אלומיניום"
"התקנת מנגנון פתיחה","יחידה","150","התקנת מנגנון פתיחה לחלון"
