name,unit,defaultPrice,description
"פירוק קיר גבס","מ״ר","40","פירוק קיר גבס כולל פינוי פסולת"
"פירוק קיר בלוקים","מ״ר","80","פירוק קיר בלוקים כולל פינוי"
"פירוק ריצוף","מ״ר","35","פירוק ריצוף ישן כולל פינוי"
"פירוק מטבח","יחידה","800","פירוק מטבח ישן כולל פינוי"
"פירוק חדר רחצה","יחידה","600","פירוק חדר רחצה כולל אביזרים"
"פירוק דלת","יחידה","100","פירוק דלת כולל משקוף"
"פירוק חלון","יחידה","150","פירוק חלון כולל מסגרת"
"פירוק תקרה תותבת","מ״ר","50","פירוק תקרה תותבת כולל פינוי"
"פירוק מעקה","מטר","60","פירוק מעקה ברזל או בטון"
"פינוי פסולת בניין","טון","200","פינוי פסולת בניין לאתר מורשה"
"פירוק מדרגות","יחידה","400","פירוק מדרגות בטון או אבן"
"פירוק גג רעפים","מ״ר","45","פירוק גג רעפים ישן"
"פירוק צנרת","מטר","25","פירוק צנרת ישנה"
"פירוק חיווט חשמל","מטר","15","פירוק חיווט חשמל ישן"
"ניקוי אתר","יום","500","ניקוי כללי של אתר בניה"
