name,unit,defaultPrice,description
"התקנת לוח גבס","מ״ר","40","התקנת לוח גבס רגיל 12.5 מ״מ"
"התקנת לוח גבס עמיד מים","מ״ר","50","התקנת לוח גבס עמיד מים לחדרי רטיבות"
"התקנת פרופיל מתכת","מטר","15","התקנת פרופיל מתכת לגבס"
"בניית קיר גבס","מ״ר","80","בניית קיר גבס כולל בידוד"
"בניית תקרה אקוסטית","מ״ר","120","בניית תקרה אקוסטית מגבס"
"יצירת נישה","יחידה","200","יצירת נישה בקיר גבס"
"התקנת קורניז גבס","מטר","35","התקנת קורניז גבס דקורטיבי"
"שפכטל וחלקה","מ״ר","25","שפכטל וחלקה של קיר גבס"
"חיתוך פתח בגבס","יחידה","80","חיתוך פתח לדלת או חלון"
"תיקון נזק בגבס","יחידה","100","תיקון נזק או חור בקיר גבס"
"בידוד אקוסטי","מ״ר","60","בידוד אקוסטי בין קירות גבס"
"בידוד תרמי","מ״ר","45","בידוד תרמי בקירות גבס"
"התקנת זווית מתכת","מטר","8","התקנת זווית מתכת להגנה על פינות"
"התקנת רשת לחיזוק","מטר","12","התקנת רשת לחיזוק חיבורים"
"גימור פינות","מטר","20","גימור פינות בחומר מיוחד"
