name,unit,defaultPrice,description
"התקנת נקודת חשמל","יחידה","150","התקנת נקודת חשמל כולל חיווט וקופסא"
"התקנת מפסק","יחידה","80","התקנת מפסק חד קוטבי או דו קוטבי"
"התקנת לוח חשמל","יחידה","800","התקנת לוח חשמל ביתי כולל מפסקים"
"חיווט בכבל NYM","מטר","12","חיווט בכבל NYM 3x2.5"
"חיווט בכבל NYY","מטר","15","חיווט בכבל NYY תת קרקעי"
"התקנת גוף תאורה","יחידה","120","התקנת גוף תאורה כולל חיבור"
"התקנת מאוורר תקרה","יחידה","200","התקנת מאוורר תקרה כולל חיבור"
"התקנת שקע רגיל","יחידה","60","התקנת שקע רגיל 16A"
"התקנת שקע תלת פאזי","יחידה","120","התקנת שקע תלת פאזי 32A"
"התקנת מתג","יחידה","50","התקנת מתג חד או דו כיווני"
"התקנת דלת אוטומטית","יחידה","2500","התקנת דלת אוטומטית כולל מנוע"
"התקנת אינטרקום","יחידה","800","התקנת מערכת אינטרקום"
"התקנת מצלמת אבטחה","יחידה","600","התקנת מצלמת אבטחה כולל חיווט"
"התקנת גלאי עשן","יחידה","180","התקנת גלאי עשן כולל חיבור למערכת"
"התקנת מערכת אזעקה","יחידה","1500","התקנת מערכת אזעקה בסיסית"
