name,unit,defaultPrice,description
"ריצוף בקרמיקה","מ״ר","80","ריצוף בקרמיקה כולל דבק וחומר מילוי"
"ריצוף בפורצלן","מ״ר","120","ריצוף בפורצלן איכותי"
"ריצוף בגרניט פורצלן","מ״ר","150","ריצוף בגרניט פורצלן מיובא"
"ריצוף בפרקט","מ״ר","200","ריצוף בפרקט עץ טבעי"
"ריצוף בלמינט","מ״ר","100","ריצוף בלמינט איכותי"
"ריצוף בשיש","מ״ר","300","ריצוף בשיש טבעי"
"הכנת משטח","מ״ר","25","הכנת משטח לריצוף - יישור וניקוי"
"הסרת ריצוף ישן","מ״ר","30","הסרת ריצוף ישן ופינוי פסולת"
"התקנת פס סיום","מטר","25","התקנת פס סיום אלומיניום"
"מילוי פוגות","מ״ר","15","מילוי פוגות בחומר איטום"
"ליטוש רצפה","מ״ר","40","ליטוש רצפת שיש או טראצו"
"התקנת שטיח","מ״ר","60","התקנת שטיח קיר לקיר"
"התקנת פי וי סי","מ״ר","70","התקנת רצפת PVC איכותית"
"התקנת גומי","מ״ר","90","התקנת רצפת גומי מיוחדת"
"איטום רצפה","מ״ר","50","איטום רצפה במרפסת או מקלחת"
