name,unit,defaultPrice,description
"ייצור מסגרת חלון","יחידה","600","ייצור מסגרת חלון מברזל"
"ייצור מסגרת דלת","יחידה","800","ייצור מסגרת דלת מברזל"
"ייצור שער ברזל","יחידה","2000","ייצור שער ברזל לחצר"
"ייצור מעקה ברזל","מטר","200","ייצור מעקה ברזל למדרגות"
"ייצור גדר ברזל","מטר","150","ייצור גדר ברזל"
"ייצור סורגים","מ״ר","300","ייצור סורגי ברזל לחלונות"
"ייצור פרגולה מתכת","מ״ר","350","ייצור פרגולה ממתכת"
"תיקון מסגרת","יחידה","200","תיקון מסגרת ברזל קיימת"
"צביעת מסגרות","מ״ר","60","צביעת מסגרות ברזל"
"התקנת מסגרות","יחידה","150","התקנת מסגרות ברזל"
"ריתוך תיקונים","שעה","120","ריתוך תיקונים במסגרות"
"התקנת צירים","יחידה","80","התקנת צירים למסגרות"
"התקנת מנעולים","יחידה","150","התקנת מנעולים למסגרות"
"שיוף וליטוש","מ״ר","40","שיוף וליטוש מסגרות מתכת"
"התקנת רשת","מ״ר","80","התקנת רשת במסגרות"
