name,unit,defaultPrice,description
"יציקת יסודות","מ״ק","400","יציקת יסודות בטון מזוין"
"יציקת עמודים","מ״ק","450","יציקת עמודי בטון מזוין"
"יציקת קורות","מ״ק","420","יציקת קורות בטון מזוין"
"יציקת תקרה","מ״ר","200","יציקת תקרת בטון מזוין"
"יציקת קיר בטון","מ״ק","380","יציקת קיר בטון מזוין"
"התקנת ברזל זיון","טון","3000","התקנת ברזל זיון"
"הקמת פיגומים","מ״ר","25","הקמת פיגומים לעבודה"
"התקנת תבניות","מ״ר","40","התקנת תבניות לבטון"
"פירוק תבניות","מ״ר","20","פירוק תבניות לאחר יציקה"
"חיזוק מבנה","יחידה","2000","חיזוק מבנה קיים"
"יציקת מדרגות","יחידה","800","יציקת מדרגות בטון"
"יציקת רצפה","מ״ר","80","יציקת רצפת בטון"
"התקנת קורות פלדה","טון","4000","התקנת קורות פלדה"
"ריתוך מתכת","שעה","150","ריתוך חלקי מתכת"
"בדיקת איכות בטון","יחידה","300","בדיקת איכות בטון לאחר יציקה"
