name,unit,defaultPrice,description
"שתילת עץ","יחידה","200","שתילת עץ נוי כולל חפירה והשקיה"
"שתילת שיח","יחידה","50","שתילת שיח נוי"
"זריעת דשא","מ״ר","25","זריעת דשא טבעי"
"הנחת דשא סינטטי","מ״ר","80","הנחת דשא סינטטי איכותי"
"עיצוב ערוגה","מ״ר","60","עיצוב ערוגת פרחים"
"התקנת מערכת השקיה","מטר","30","התקנת מערכת השקיה טפטוף"
"גיזום עצים","יחידה","150","גיזום עץ בוגר"
"גיזום שיחים","מטר","20","גיזום שיחי גדר"
"כיסוח דשא","מ״ר","5","כיסוח דשא חד פעמי"
"ניכוש עשבים","מ״ר","15","ניכוש עשבים ברים"
"הדברת מזיקים","מ״ר","25","הדברת מזיקים בגינה"
"דישון צמחים","מ״ר","10","דישון צמחים בגינה"
"בניית דק עץ","מ״ר","300","בניית דק עץ בגינה"
"התקנת תאורת גן","יחידה","200","התקנת גוף תאורה בגינה"
"בניית בריכת נוי","יחידה","2000","בניית בריכת נוי קטנה"
