name,unit,defaultPrice,description
"התקנת צנרת גז","מטר","50","התקנת צנרת גז בלחץ נמוך"
"התקנת רגולטור גז","יחידה","200","התקנת רגולטור גז"
"התקנת שסתום גז","יחידה","150","התקנת שסתום עצירה לגז"
"חיבור כיריים לגז","יחידה","300","חיבור כיריים גז למערכת"
"חיבור תנור גז","יחידה","350","חיבור תנור גז למערכת"
"חיבור דוד גז","יחידה","400","חיבור דוד גז למערכת"
"התקנת גלאי גז","יחידה","250","התקנת גלאי גז לבטיחות"
"בדיקת דליפות גז","יחידה","200","בדיקת דליפות במערכת גז"
"תחזוקת מערכת גז","יחידה","300","תחזוקה שנתית למערכת גז"
"התקנת מונה גז","יחידה","400","התקנת מונה גז ביתי"
"תיקון דליפת גז","יחידה","250","תיקון דליפת גז במערכת"
"החלפת צנרת גז","מטר","60","החלפת צנרת גז ישנה"
"התקנת ברז גז","יחידה","180","התקנת ברז גז למכשיר"
"איטום חיבורי גז","יחידה","100","איטום חיבורי גז"
"בדיקת לחץ גז","יחידה","150","בדיקת לחץ במערכת גז"
