name,unit,defaultPrice,description
"תליית תמונות","יחידה","50","תליית תמונות וראי על הקיר"
"התקנת מדף","יחידה","80","התקנת מדף קיר"
"תיקון ברז דולף","יחידה","120","תיקון ברז דולף או החלפת אטמים"
"החלפת נורה","יחידה","30","החלפת נורה או גוף תאורה קטן"
"תיקון שקע חשמל","יחידה","100","תיקון או החלפת שקע חשמל"
"התקנת וילון","יחידה","60","התקנת וילון או תריס"
"תיקון דלת חורקת","יחידה","80","תיקון דלת חורקת או כבדה"
"התקנת מתלה בגדים","יחידה","70","התקנת מתלה בגדים על הקיר"
"תיקון חור בקיר","יחידה","60","תיקון חור קטן בקיר גבס"
"התקנת מראה","יחידה","100","התקנת מראה גדולה על הקיר"
"תיקון ידית דלת","יחידה","50","תיקון או החלפת ידית דלת"
"התקנת מתג חדש","יחידה","80","התקנת מתג חשמל חדש"
"תיקון רשת נגד יתושים","יחידה","60","תיקון רשת נגד יתושים"
"התקנת מתקן סבון","יחידה","40","התקנת מתקן סבון בחדר רחצה"
"ארגון כלים","שעה","80","ארגון כלים ופתרונות אחסון"
