name,unit,defaultPrice,description
"התקנת מטבח שלם","מטר","1500","התקנת מטבח שלם כולל דלתות ומגירות"
"התקנת משטח עבודה","מטר","300","התקנת משטח עבודה מקוריאן"
"התקנת כיור מטבח","יחידה","400","התקנת כיור מטבח כולל ברז"
"התקנת מדיח כלים","יחידה","200","התקנת מדיח כלים בנוי"
"התקנת תנור בנוי","יחידה","300","התקנת תנור בנוי"
"התקנת כיריים","יחידה","250","התקנת כיריים גז או חשמל"
"התקנת מקרר בנוי","יחידה","400","התקנת מקרר בנוי במטבח"
"התקנת מיקרוגל בנוי","יחידה","150","התקנת מיקרוגל בנוי"
"התקנת תאורת מטבח","יחידה","200","התקנת תאורה תחת הארונות"
"התקנת מגירות","יחידה","150","התקנת מגירות עם מנגנון רך"
"התקנת דלתות ארון","יחידה","200","התקנת דלתות ארון עליון או תחתון"
"התקנת מדפים","מטר","100","התקנת מדפים פנימיים בארון"
"התקנת ידיות","יחידה","25","התקנת ידיות לדלתות ומגירות"
"התקנת פח אשפה נשלף","יחידה","200","התקנת פח אשפה נשלף במטבח"
"התקנת מערכת אחסון","יחידה","300","התקנת מערכת אחסון חכמה"
