name,unit,defaultPrice,description
"צביעת קיר פנימי","מ״ר","25","צביעת קיר פנימי בצבע אמולסיה"
"צביעת קיר חיצוני","מ״ר","35","צביעת קיר חיצוני בצבע אקרילי"
"צביעת תקרה","מ״ר","30","צביעת תקרה בצבע אמולסיה"
"צביעת דלת עץ","יחידה","200","צביעת דלת עץ בלכה או צבע"
"צביעת חלון עץ","יחידה","150","צביעת חלון עץ בלכה"
"צביעת מעקה ברזל","מטר","40","צביעת מעקה ברזל בצבע אנטי חלודה"
"צביעת גדר ברזל","מטר","35","צביעת גדר ברזל בצבע אנטי חלודה"
"הכנת קיר לצביעה","מ״ר","15","הכנת קיר לצביעה - שיוף וניקוי"
"מריחת פריימר","מ״ר","12","מריחת פריימר לפני צביעה"
"צביעה דקורטיבית","מ״ר","60","צביעה דקורטיבית מיוחדת"
"הסרת צבע ישן","מ״ר","20","הסרת צבע ישן מקירות"
"תיקון סדקים","מטר","25","תיקון סדקים בקיר לפני צביעה"
"צביעת רדיאטור","יחידה","100","צביעת רדיאטור בצבע חום"
"צביעת צנרת","מטר","15","צביעת צנרת חשופה"
"צביעת שער ברזל","מ״ר","45","צביעת שער ברזל בצבע אנטי חלודה"
