name,unit,defaultPrice,description
"טיח פנימי","מ״ר","45","טיח פנימי בטיט גבס"
"טיח חיצוני","מ״ר","55","טיח חיצוני עמיד מזג אוויר"
"טיח דקורטיבי","מ״ר","80","טיח דקורטיבי מיוחד"
"טיח אקוסטי","מ״ר","70","טיח אקוסטי לבידוד קול"
"שפכטל","מ״ר","25","שפכטל וחלקה של קיר"
"תיקון סדקים","מטר","30","תיקון סדקים בטיח"
"הכנת קיר לטיח","מ״ר","20","הכנת קיר לטיח - ניקוי והרטבה"
"טיח על בלוקים","מ״ר","50","טיח על קיר בלוקי בטון"
"טיח על לבנים","מ״ר","48","טיח על קיר לבנים"
"טיח תקרה","מ״ר","60","טיח תקרה בטיט גבס"
"יצירת מרקם","מ״ר","35","יצירת מרקם דקורטיבי בטיח"
"טיח עמיד מים","מ״ר","65","טיח עמיד מים לחדרי רטיבות"
"הסרת טיח ישן","מ״ר","30","הסרת טיח ישן פגום"
"טיח מעל בידוד","מ״ר","55","טיח מעל לוחות בידוד"
"גימור פינות","מטר","25","גימור פינות בזווית מתכת"
