name,unit,defaultPrice,description
"התקנת כיור","יחידה","300","התקנת כיור כולל ברזים וחיבורים"
"התקנת אסלה","יחידה","400","התקנת אסלה כולל מיכל הדחה"
"התקנת מקלחת","יחידה","800","התקנת מקלחת כולל ברזים ואביזרים"
"התקנת אמבטיה","יחידה","1200","התקנת אמבטיה כולל ברזים וחיבורים"
"התקנת דוד חשמלי","יחידה","600","התקנת דוד חשמלי 80 ליטר"
"התקנת דוד גז","יחידה","800","התקנת דוד גז כולל חיבור גז"
"התקנת ברז","יחידה","150","התקנת ברז רגיל או מיקסר"
"התקנת שסתום","יחידה","80","התקנת שסתום עצירה"
"צנרת נחושת","מטר","25","צנרת נחושת 22 מ״מ"
"צנרת פלסטיק","מטר","15","צנרת פלסטיק PPR"
"התקנת משאבת מים","יחידה","1000","התקנת משאבת מים ביתית"
"התקנת מסנן מים","יחידה","400","התקנת מסנן מים תחת הכיור"
"התקנת מונה מים","יחידה","200","התקנת מונה מים כולל חיבורים"
"פתיחת סתימה","יחידה","250","פתיחת סתימה בצנרת"
"איתור נזילה","יחידה","300","איתור נזילה בצנרת נסתרת"
