name,unit,defaultPrice,description
"התקנת רעפים","מ״ר","120","התקנת רעפי חרס איכותיים"
"התקנת רעפי בטון","מ״ר","100","התקנת רעפי בטון"
"התקנת גג רעפים שטוח","מ״ר","150","התקנת גג רעפים שטוח מודרני"
"איטום גג","מ״ר","80","איטום גג בחומר ביטומני"
"התקנת מרזב","מטר","60","התקנת מרזב לניקוז מי גשמים"
"התקנת צנור ניקוז","מטר","40","התקנת צנור ניקוז אנכי"
"תיקון דליפה בגג","יחידה","300","תיקון דליפה בגג"
"החלפת רעפים שבורים","יחידה","25","החלפת רעפים שבורים"
"התקנת בידוד תרמי","מ״ר","60","התקנת בידוד תרמי בגג"
"התקנת מחסום אדים","מ״ר","25","התקנת מחסום אדים"
"בניית קומת גג","מ״ר","400","בניית קומת גג מעץ"
"התקנת חלון גג","יחידה","800","התקנת חלון גג"
"התקנת מאוורר גג","יחידה","400","התקנת מאוורר לגג"
"ניקוי מרזבים","מטר","15","ניקוי מרזבים מעלים ולכלוך"
"התקנת רשת הגנה","מטר","30","התקנת רשת הגנה על מרזבים"
