name,unit,defaultPrice,description
"התקנת דוד שמש","יחידה","2500","התקנת דוד שמש 200 ליטר"
"התקנת קולטים סולריים","מ״ר","400","התקנת קולטים סולריים על הגג"
"התקנת מיכל מים","יחידה","800","התקנת מיכל מים למערכת סולרית"
"חיבור צנרת","מטר","30","חיבור צנרת למערכת סולרית"
"בידוד צנרת","מטר","20","בידוד צנרת מערכת סולרית"
"התקנת משאבת מחזור","יחידה","600","התקנת משאבת מחזור למערכת"
"התקנת בקר טמפרטורה","יחידה","300","התקנת בקר טמפרטורה"
"תחזוקת דוד שמש","יחידה","250","תחזוקה שנתית לדוד שמש"
"ניקוי קולטים","מ״ר","25","ניקוי קולטים סולריים"
"תיקון דליפה","יחידה","200","תיקון דליפה במערכת"
"החלפת אלמנט חימום","יחידה","300","החלפת אלמנט חימום חשמלי"
"התקנת שסתום בטיחות","יחידה","150","התקנת שסתום בטיחות"
"בדיקת לחץ מערכת","יחידה","100","בדיקת לחץ במערכת סולרית"
"התקנת מד טמפרטורה","יחידה","80","התקנת מד טמפרטורה"
"איטום חיבורים","יחידה","120","איטום חיבורים במערכת"
