name,unit,defaultPrice,description
"איטום מרפסת","מ״ר","100","איטום מרפסת בחומר ביטומני"
"איטום חדר רחצה","מ״ר","120","איטום חדר רחצה לפני ריצוף"
"איטום קיר מרתף","מ״ר","80","איטום קיר מרתף מבחוץ"
"איטום בריכה","מ״ר","150","איטום בריכת שחיה"
"איטום גג שטוח","מ״ר","90","איטום גג שטוח בממברנה"
"איטום יסודות","מטר","60","איטום יסודות הבניין"
"איטום סביב חלונות","מטר","40","איטום סביב מסגרות חלונות"
"איטום צנרת","יחידה","80","איטום סביב צנרת חודרת"
"תיקון איטום","מ״ר","70","תיקון איטום קיים"
"איטום מעלית","מ״ר","200","איטום בור מעלית"
"איטום דק","מ״ר","110","איטום דק עץ במרפסת"
"איטום קיר חיצוני","מ״ר","85","איטום קיר חיצוני מפני רטיבות"
"איטום סביב דלתות","מטר","35","איטום סביב מסגרות דלתות"
"איטום מחסן תת קרקעי","מ״ר","95","איטום מחסן תת קרקעי"
"בדיקת איטום","מ״ר","25","בדיקת איטום קיים ואיתור בעיות"
